seed,N_SUB,split,kind,method,tau,metric,value
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4239018644952272
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8682821934367339
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.46309390959178476
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6140520378664718
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8682821934367339
123,75000,train,timing,sklearn_LP,0.1,fit_seconds,584.4528470969999
123,75000,train,timing,sklearn_LP,0.1,n_iter,95698.0
123,75000,train,timing,sklearn_LP,0.5,fit_seconds,684.1449271700003
123,75000,train,timing,sklearn_LP,0.5,n_iter,119894.0
123,75000,train,timing,sklearn_LP,0.9,fit_seconds,600.6500370670001
123,75000,train,timing,sklearn_LP,0.9,n_iter,95222.0
123,75000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.0044706666666666705
123,75000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0019546666666666454
123,75000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0023168955350341765
123,75000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.013293333333333334
123,75000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,2e-05
123,75000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0001824751816975819
123,75000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0003558298317773962
123,75000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01332
123,75000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.004499999999999993
123,75000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0019506666666666494
123,75000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.002276326696128899
123,75000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.013266666666666666
123,75000,train,metric,sklearn_LP,0.1,pinball,0.058474989810266546
123,75000,train,metric,sklearn_LP,0.1,rmse,0.5873891702783915
123,75000,test,metric,sklearn_LP,0.1,pinball,0.060335470466791934
123,75000,test,metric,sklearn_LP,0.1,rmse,0.5890147941553536
123,75000,train,metric,sklearn_LP,0.5,pinball,0.13533534122199542
123,75000,train,metric,sklearn_LP,0.5,rmse,0.3693094383425722
123,75000,test,metric,sklearn_LP,0.5,pinball,0.13841404989524828
123,75000,test,metric,sklearn_LP,0.5,rmse,0.3739994571500908
123,75000,train,metric,sklearn_LP,0.9,pinball,0.06215519247564232
123,75000,train,metric,sklearn_LP,0.9,rmse,0.5830764788059302
123,75000,test,metric,sklearn_LP,0.9,pinball,0.06489202054788272
123,75000,test,metric,sklearn_LP,0.9,rmse,0.5861122029234533
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79028
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8679086086292265
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2522749101467465
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.30377960313686425
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.44456340290042945
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8679086086292265
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.47458356594811874
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6361592901659412
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8679086086292265
123,100000,train,timing,sklearn_LP,0.1,fit_seconds,1104.1696538899996
123,100000,train,timing,sklearn_LP,0.1,n_iter,126440.0
123,100000,train,timing,sklearn_LP,0.5,fit_seconds,1268.5504907949999
123,100000,train,timing,sklearn_LP,0.5,n_iter,158287.0
123,100000,train,timing,sklearn_LP,0.9,fit_seconds,1065.3754862840005
