,experiment,experiment_group,seed,method,lower_tau,upper_tau,nominal_coverage,n,n_train,n_test,d,rho,covariance,noise_dist,sigma,heteroskedastic,hetero_strength,t_df,sparsity,lp_alpha,l1,l2,base_lr,batch_size,max_iter,fit_seconds_lower,fit_seconds_upper,fit_seconds,n_iter_lower,n_iter_upper,lower_test_pinball,upper_test_pinball,mean_test_pinball,lower_train_kkt_grad_inf,upper_train_kkt_grad_inf,coverage,mean_width,crossing_rate,winkler
31,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,2048,5000,3.907760127000074,3.860700671999439,7.768460798999513,5000,5000,0.18068982539355172,0.2143318371911201,0.1975108312923359,0.0034440377128356512,0.0040872730325044035,0.965,12.90022788245331,0.0,15.800866503386864
32,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,2048,5000,5.483470219000083,4.296247949001554,9.779718168001637,5000,5000,0.28727218741123145,0.2648462467795144,0.27605921709537296,0.002565845319128803,0.0038486958494581875,0.971,18.950928309881018,0.0,22.08473736762982
33,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,2048,5000,4.282489355999132,4.9280803429992375,9.21056969899837,5000,5000,0.26062588705905526,0.2588524868012324,0.25973918693014386,0.005900017959177426,0.004684052752319887,0.966,17.619849735324063,0.0,20.779134954411496
34,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,2048,5000,4.58812203799971,4.0395305219990405,8.62765255999875,5000,5000,0.4066887414350999,0.3827257640691969,0.3947072527521484,0.009789993356636746,0.007623304212802309,0.976,28.27103029754292,0.0,31.57658022017186
35,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,32,5000,1.41178107900123,1.3762192249996588,2.7880003040008887,5000,5000,0.29455351396125284,0.281078366082539,0.2878159400218959,0.004362684192472611,0.0031558079835821,0.964,19.177686820974355,0.0,23.02527520175166
36,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,32,5000,1.9620552050000697,2.0883563499992306,4.0504115549993,5000,5000,0.17946363704543916,0.20997147612737507,0.1947175565864071,0.0016188273838702216,0.0023784344367156814,0.955,12.378562047178667,0.0,15.577404526912563
37,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,32,5000,1.6099976890000107,1.3747319699996297,2.9847296589996404,5000,5000,0.2814632475593004,0.2599812563679775,0.27072225196363897,0.002262582746642038,0.002436873396832025,0.966,18.400703389923574,0.0,21.657780157091103
38,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,32,5000,1.3736578110001574,1.288764942000853,2.6624227530010103,5000,5000,0.25721290378738015,0.2578138143810636,0.2575133590842219,0.0021398417980901326,0.0024585476021492052,0.964,17.245962185373674,0.0,20.60106872673774
39,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,32,5000,1.3445409399992059,1.3223756400002458,2.6669165799994516,5000,5000,0.3828094080653689,0.3787041934143422,0.3807568007398555,0.002131308586219296,0.0022785398118109327,0.977,27.48539453657447,0.0,30.460544059188425
40,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,64,5000,1.3478667039998982,1.6812937340000644,3.0291604379999626,5000,5000,0.29231903232935863,0.27840043940871034,0.2853597358690345,0.0029142687450303766,0.002888352783178394,0.964,18.94900996561836,0.0,22.828778869522743
