seed,N_SUB,split,kind,method,tau,metric,value
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.424218342462915
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.8685228500759815
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.46461521035488246
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6159036859376242
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,50000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8685228500759815
123,75000,train,timing,IRLS,0.1,fit_seconds,1679.1927285230013
123,75000,train,timing,IRLS,0.1,n_iter,965.0
123,75000,train,timing,IRLS,0.5,fit_seconds,840.0503858720003
123,75000,train,timing,IRLS,0.5,n_iter,479.0
123,75000,train,timing,IRLS,0.9,fit_seconds,1245.589392553
123,75000,train,timing,IRLS,0.9,n_iter,647.0
123,75000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.004957333333333328
123,75000,train,kkt,IRLS,0.1,kkt_grad_inf,0.002340000000000021
123,75000,train,kkt,IRLS,0.1,kkt_grad_l2,0.0026933093731019184
123,75000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.0013066666666666667
123,75000,train,kkt,IRLS,0.5,kkt_intercept_abs,4.6666666666666665e-05
123,75000,train,kkt,IRLS,0.5,kkt_grad_inf,8.27749511680666e-05
123,75000,train,kkt,IRLS,0.5,kkt_grad_l2,0.00015477940437899092
123,75000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.005026666666666666
123,75000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.004952000000000007
123,75000,train,kkt,IRLS,0.9,kkt_grad_inf,0.00222400000000002
123,75000,train,kkt,IRLS,0.9,kkt_grad_l2,0.0025393728897005544
123,75000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.0013866666666666667
123,75000,train,metric,IRLS,0.1,pinball,0.05847499170564378
123,75000,train,metric,IRLS,0.1,rmse,0.5874351021511294
123,75000,test,metric,IRLS,0.1,pinball,0.0603327030058453
123,75000,test,metric,IRLS,0.1,rmse,0.5890531851951407
123,75000,train,metric,IRLS,0.5,pinball,0.13533534157778404
123,75000,train,metric,IRLS,0.5,rmse,0.3689287685297415
123,75000,test,metric,IRLS,0.5,pinball,0.1382757591620652
123,75000,test,metric,IRLS,0.5,rmse,0.37352276159094916
123,75000,train,metric,IRLS,0.9,pinball,0.062155194218387964
123,75000,train,metric,IRLS,0.9,rmse,0.5831692330228262
123,75000,test,metric,IRLS,0.9,pinball,0.06488762570652085
123,75000,test,metric,IRLS,0.9,rmse,0.5862053195877839
123,75000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.79024
123,75000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.868090545737437
123,75000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.2522032871236615
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3039683549807385
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4447003823803175
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.868090545737437
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.476318958500635
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6377769093535701
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,75000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.868090545737437
123,100000,train,timing,IRLS,0.1,fit_seconds,1573.5410764340013
123,100000,train,timing,IRLS,0.1,n_iter,714.0
123,100000,train,timing,IRLS,0.5,fit_seconds,1012.2041684069991
123,100000,train,timing,IRLS,0.5,n_iter,468.0
123,100000,train,timing,IRLS,0.9,fit_seconds,1108.3094581490004
123,100000,train,timing,IRLS,0.9,n_iter,509.0
123,100000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.0037489999999999945
