seed,N_SUB,split,kind,method,tau,metric,value,method_label
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4239018644952272,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8682821934367339,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4630939095917847,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6140520378664718,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8682821934367339,sklearn_LP
123,75000,train,timing,sklearn_LP,0.1,fit_seconds,584.4528470969999,sklearn_LP
123,75000,train,timing,sklearn_LP,0.1,n_iter,95698.0,sklearn_LP
123,75000,train,timing,sklearn_LP,0.5,fit_seconds,684.1449271700003,sklearn_LP
123,75000,train,timing,sklearn_LP,0.5,n_iter,119894.0,sklearn_LP
123,75000,train,timing,sklearn_LP,0.9,fit_seconds,600.6500370670001,sklearn_LP
123,75000,train,timing,sklearn_LP,0.9,n_iter,95222.0,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.0044706666666666,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0019546666666666,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0023168955350341,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.0132933333333333,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,2e-05,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0001824751816975,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0003558298317773,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01332,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0044999999999999,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0019506666666666,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0022763266961288,sklearn_LP
123,75000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.0132666666666666,sklearn_LP
123,75000,train,metric,sklearn_LP,0.1,pinball,0.0584749898102665,sklearn_LP
123,75000,train,metric,sklearn_LP,0.1,rmse,0.5873891702783915,sklearn_LP
123,75000,test,metric,sklearn_LP,0.1,pinball,0.0603354704667919,sklearn_LP
123,75000,test,metric,sklearn_LP,0.1,rmse,0.5890147941553536,sklearn_LP
123,75000,train,metric,sklearn_LP,0.5,pinball,0.1353353412219954,sklearn_LP
123,75000,train,metric,sklearn_LP,0.5,rmse,0.3693094383425722,sklearn_LP
123,75000,test,metric,sklearn_LP,0.5,pinball,0.1384140498952482,sklearn_LP
123,75000,test,metric,sklearn_LP,0.5,rmse,0.3739994571500908,sklearn_LP
123,75000,train,metric,sklearn_LP,0.9,pinball,0.0621551924756423,sklearn_LP
123,75000,train,metric,sklearn_LP,0.9,rmse,0.5830764788059302,sklearn_LP
123,75000,test,metric,sklearn_LP,0.9,pinball,0.0648920205478827,sklearn_LP
123,75000,test,metric,sklearn_LP,0.9,rmse,0.5861122029234533,sklearn_LP
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79028,sklearn_LP
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8679086086292265,sklearn_LP
123,75000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2522749101467463,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3037796031368642,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4445634029004294,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8679086086292265,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4745835659481187,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6361592901659412,sklearn_LP
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
