seed,N_SUB,split,kind,method,tau,metric,value
123,50000,train,kkt,proxSGD,0.9,frac_near_zero_resid,0.0
123,50000,train,metric,proxSGD,0.1,pinball,0.058089098324516815
123,50000,train,metric,proxSGD,0.1,rmse,0.5898911603192022
123,50000,test,metric,proxSGD,0.1,pinball,0.06117745242239243
123,50000,test,metric,proxSGD,0.1,rmse,0.5923712594153817
123,50000,train,metric,proxSGD,0.5,pinball,0.13514541057096546
123,50000,train,metric,proxSGD,0.5,rmse,0.3676537625648339
123,50000,test,metric,proxSGD,0.5,pinball,0.13831565907777674
123,50000,test,metric,proxSGD,0.5,rmse,0.3734575416449805
123,50000,train,metric,proxSGD,0.9,pinball,0.06228491148087906
123,50000,train,metric,proxSGD,0.9,rmse,0.5938321438761202
123,50000,test,metric,proxSGD,0.9,pinball,0.06504313613182298
123,50000,test,metric,proxSGD,0.9,rmse,0.5990618279088777
123,50000,test,pi,proxSGD,"PI(0.1,0.9)",coverage,0.80078
123,50000,test,pi,proxSGD,"PI(0.1,0.9)",mean_width,0.8883835482758173
123,50000,test,pi,proxSGD,"PI(0.1,0.9)",winkler,1.262205885542154
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3010487815931825
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4272010757583124
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__mean_width,0.8883835482758173
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4734355102787274
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6224213125552656
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,50000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8883835482758173
123,75000,train,timing,proxSGD,0.1,fit_seconds,49.92979378900054
123,75000,train,timing,proxSGD,0.1,n_iter,5000.0
123,75000,train,timing,proxSGD,0.5,fit_seconds,49.84855085900017
123,75000,train,timing,proxSGD,0.5,n_iter,5000.0
123,75000,train,timing,proxSGD,0.9,fit_seconds,49.182605855000475
123,75000,train,timing,proxSGD,0.9,n_iter,5000.0
123,75000,train,kkt,proxSGD,0.1,kkt_intercept_abs,0.00753333333333334
123,75000,train,kkt,proxSGD,0.1,kkt_grad_inf,0.004025333333333309
123,75000,train,kkt,proxSGD,0.1,kkt_grad_l2,0.00584329001521399
123,75000,train,kkt,proxSGD,0.1,frac_near_zero_resid,0.0
123,75000,train,kkt,proxSGD,0.5,kkt_intercept_abs,0.00096
123,75000,train,kkt,proxSGD,0.5,kkt_grad_inf,0.0011159972746936512
123,75000,train,kkt,proxSGD,0.5,kkt_grad_l2,0.0018329050572423924
123,75000,train,kkt,proxSGD,0.5,frac_near_zero_resid,0.0
123,75000,train,kkt,proxSGD,0.9,kkt_intercept_abs,0.005853333333333326
